"","prolific_id","phoneme","language","language_chosen","L1","mode"
"198","5a08ddd0df3fa800015c36ac","schwa_a","French","span","English","perception"
"199","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"200","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"201","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"202","5a5479b4ac56240001537ffa","schwa_a","French","span","English","perception"
"203","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"204","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"205","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"206","5a5479b4ac56240001537ffa","schwa_a","French","span","English","perception"
"207","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"208","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"209","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"210","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"211","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"212","5a5479b4ac56240001537ffa","schwa_a","French","eng","English","perception"
"213","5a5479b4ac56240001537ffa","schwa_a","French","span","English","perception"
"214","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"215","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"216","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"217","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"218","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"219","5a5479b4ac56240001537ffa","schwa_a","French","eng","English","perception"
"220","5a5479b4ac56240001537ffa","schwa_a","French","span","English","perception"
"221","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"222","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"223","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"224","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"225","5a5479b4ac56240001537ffa","schwa_a","French","eng","English","perception"
"226","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"227","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"228","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"229","5a5479b4ac56240001537ffa","schwa_a","French","eng","English","perception"
"230","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"231","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"232","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"233","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"234","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"235","5a5479b4ac56240001537ffa","schwa_a","French","eng","English","perception"
"236","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"237","5a5479b4ac56240001537ffa","i","French","eng","English","perception"
"238","5a5479b4ac56240001537ffa","u","French","eng","English","perception"
"239","5a5479b4ac56240001537ffa","schwa_a","French","span","English","perception"
"240","5a5479b4ac56240001537ffa","o","French","eng","English","perception"
"241","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"242","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"243","5a6d5ae19d65ec00017e9bae","u","French","span","English","perception"
"244","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"245","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"246","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"247","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"248","5a6d5ae19d65ec00017e9bae","u","French","span","English","perception"
"249","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"250","5a6d5ae19d65ec00017e9bae","u","French","span","English","perception"
"251","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"252","5a6d5ae19d65ec00017e9bae","u","French","span","English","perception"
"253","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"254","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"255","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"256","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"257","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"258","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"259","5a6d5ae19d65ec00017e9bae","u","French","span","English","perception"
"260","5a6d5ae19d65ec00017e9bae","u","French","eng","English","perception"
"261","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"262","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"263","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"264","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"265","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"266","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"267","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"268","5a6d5ae19d65ec00017e9bae","u","French","eng","English","perception"
"269","5a6d5ae19d65ec00017e9bae","u","French","eng","English","perception"
"270","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"271","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"272","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"273","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"274","5a6d5ae19d65ec00017e9bae","u","French","eng","English","perception"
