"","f1e","f2e","language","participant","text","group","consonant","phoneme"
"270","790.52","1252.96","english","509331","foff","L1 English monolingual","f","o"
"271","478.83","1309.89","english","509331","foof","L1 English monolingual","f","u"
"272","430.56","2424.84","english","509331","peef","L1 English monolingual","p","i"
"273","761.86","1186.29","english","509331","poff","L1 English monolingual","p","o"
"274","773.00","1342.13","english","509331","puff","L1 English monolingual","p","schwa"
"275","744.61","1361.41","english","509331","fuff","L1 English monolingual","f","schwa"
"276","790.62","1243.98","english","509331","poff","L1 English monolingual","p","o"
"277","376.49","2549.00","english","509331","peef","L1 English monolingual","p","i"
"278","440.33","2684.02","english","509331","feef","L1 English monolingual","f","i"
"279","738.83","1301.59","english","509331","fuff","L1 English monolingual","f","schwa"
"280","727.07","1303.09","english","509331","fuff","L1 English monolingual","f","schwa"
"281","464.96","2556.02","english","509331","peef","L1 English monolingual","p","i"
"282","412.53","1133.30","english","509331","poof","L1 English monolingual","p","u"
"283","750.14","1125.57","english","509331","foff","L1 English monolingual","f","o"
"284","492.17","1016.42","english","509331","foof","L1 English monolingual","f","u"
"285","746.69","1361.33","english","509331","puff","L1 English monolingual","p","schwa"
"286","650.46","877.17","english","509331","poff","L1 English monolingual","p","o"
"287","497.10","1274.72","english","509331","poof","L1 English monolingual","p","u"
"288","419.40","1810.57","German","509341","puf","L1 English monolingual","p","u"
"289","441.57","922.99","German","509341","pof","L1 English monolingual","p","o"
"290","670.39","1269.88","German","509341","paf","L1 English monolingual","p","schwa"
"291","873.13","1488.39","German","509341","faf","L1 English monolingual","f","schwa"
"292","706.67","2631.70","German","509341","fif","L1 English monolingual","f","i"
"293","369.33","2598.50","German","509341","pif","L1 English monolingual","p","i"
"294","771.55","1443.23","German","509341","faf","L1 English monolingual","f","schwa"
"295","394.53","2395.17","German","509341","fif","L1 English monolingual","f","i"
"296","740.90","1427.91","German","509341","paf","L1 English monolingual","p","schwa"
"297","769.81","1449.10","German","509341","paf","L1 English monolingual","p","schwa"
"298","433.61","1120.16","German","509341","fof","L1 English monolingual","f","o"
"299","416.89","2593.18","German","509341","fif","L1 English monolingual","f","i"
"300","399.66","2679.07","German","509341","pif","L1 English monolingual","p","i"
"301","730.34","1340.84","German","509341","faf","L1 English monolingual","f","schwa"
"302","444.02","1764.41","German","509341","puf","L1 English monolingual","p","u"
"303","483.69","1426.09","German","509341","fof","L1 English monolingual","f","o"
"304","457.00","1114.95","German","509341","fof","L1 English monolingual","f","o"
"305","432.54","1898.27","German","509341","fuf","L1 English monolingual","f","u"
"306","419.95","1699.69","German","509341","puf","L1 English monolingual","p","u"
"307","397.31","2533.08","German","509341","pif","L1 English monolingual","p","i"
"308","434.95","1845.62","German","509341","fuf","L1 English monolingual","f","u"
"309","472.80","1055.12","German","509341","pof","L1 English monolingual","p","o"
"310","494.40","1211.46","German","509341","pof","L1 English monolingual","p","o"
"311","390.44","1908.57","German","509341","fuf","L1 English monolingual","f","u"
"312","637.03","1686.20","french","509341","faf","L1 English monolingual","f","schwa"
"313","473.17","2480.08","french","509341","fif","L1 English monolingual","f","i"
"314","588.63","1350.74","french","509341","fof","L1 English monolingual","f","o"
"315","471.34","1844.29","french","509341","pif","L1 English monolingual","p","i"
"316","474.98","1660.79","french","509341","fuf","L1 English monolingual","f","u"
"317","557.62","1368.30","french","509341","pof","L1 English monolingual","p","o"
"318","485.62","1594.54","french","509341","fuf","L1 English monolingual","f","u"
"319","567.65","1350.83","french","509341","fof","L1 English monolingual","f","o"
"320","601.14","1763.11","french","509341","faf","L1 English monolingual","f","schwa"
"321","401.33","2609.46","french","509341","pif","L1 English monolingual","p","i"
"322","669.61","1735.19","french","509341","paf","L1 English monolingual","p","schwa"
"323","506.33","2453.64","french","509341","fif","L1 English monolingual","f","i"
"324","613.60","1318.54","french","509341","fof","L1 English monolingual","f","o"
"325","572.73","1663.39","french","509341","paf","L1 English monolingual","p","schwa"
"326","455.97","1833.95","french","509341","fuf","L1 English monolingual","f","u"
"327","436.36","2551.42","french","509341","fif","L1 English monolingual","f","i"
"328","447.61","1756.82","french","509341","puf","L1 English monolingual","p","u"
"329","465.66","1793.70","french","509341","puf","L1 English monolingual","p","u"
"330","656.53","1531.01","french","509341","faf","L1 English monolingual","f","schwa"
"331","595.57","1376.33","french","509341","pof","L1 English monolingual","p","o"
"332","585.64","1725.69","french","509341","paf","L1 English monolingual","p","schwa"
"333","432.61","2557.88","french","509341","pif","L1 English monolingual","p","i"
"334","564.05","1273.43","french","509341","pof","L1 English monolingual","p","o"
"335","425.14","1866.60","french","509341","puf","L1 English monolingual","p","u"
"336","410.98","2431.51","english","509341","feef","L1 English monolingual","f","i"
"337","474.88","1354.06","english","509341","poof","L1 English monolingual","p","u"
"338","741.34","1248.65","english","509341","poff","L1 English monolingual","p","o"
"339","458.87","1335.26","english","509341","poof","L1 English monolingual","p","u"
"340","449.13","1431.56","english","509341","foof","L1 English monolingual","f","u"
"341","866.21","1595.41","english","509341","fuff","L1 English monolingual","f","schwa"
"342","473.22","1246.93","english","509341","foof","L1 English monolingual","f","u"
"343","433.74","2473.99","english","509341","peef","L1 English monolingual","p","i"
"344","712.22","1196.90","english","509341","foff","L1 English monolingual","f","o"
"345","440.35","2458.23","english","509341","feef","L1 English monolingual","f","i"
"346","764.69","2589.98","english","509341","peef","L1 English monolingual","p","i"
"347","443.37","1302.81","english","509341","foof","L1 English monolingual","f","u"
"348","686.65","1182.11","english","509341","foff","L1 English monolingual","f","o"
"349","684.29","1291.35","english","509341","fuff","L1 English monolingual","f","schwa"
"350","696.52","1204.81","english","509341","foff","L1 English monolingual","f","o"
"351","410.93","2553.03","english","509341","peef","L1 English monolingual","p","i"
"352","697.03","1160.98","english","509341","poff","L1 English monolingual","p","o"
"353","478.46","1404.64","english","509341","poof","L1 English monolingual","p","u"
"354","751.38","1389.13","english","509341","puff","L1 English monolingual","p","schwa"
"355","733.91","1396.43","english","509341","fuff","L1 English monolingual","f","schwa"
"356","763.53","1354.37","english","509341","puff","L1 English monolingual","p","schwa"
"357","421.37","2383.16","english","509341","feef","L1 English monolingual","f","i"
"358","625.49","1135.95","english","509341","poff","L1 English monolingual","p","o"
"359","662.13","1362.00","english","509341","puff","L1 English monolingual","p","schwa"
"360","884.71","1509.79","German","509344","paf","L1 English monolingual","p","schwa"
"361","547.47","1242.60","German","509344","pof","L1 English monolingual","p","o"
"362","489.34","1953.20","German","509344","puf","L1 English monolingual","p","u"
"363","913.38","1672.34","German","509344","paf","L1 English monolingual","p","schwa"
"364","549.95","1977.72","German","509344","puf","L1 English monolingual","p","u"
"365","881.32","1602.64","German","509344","faf","L1 English monolingual","f","schwa"
"366","462.63","1227.92","German","509344","pof","L1 English monolingual","p","o"
"367","617.09","1379.37","German","509344","pof","L1 English monolingual","p","o"
"368","958.12","1449.60","German","509344","paf","L1 English monolingual","p","schwa"
"369","561.09","2084.80","German","509344","fuf","L1 English monolingual","f","u"
"370","365.86","2865.22","German","509344","pif","L1 English monolingual","p","i"
"371","414.72","2357.30","German","509344","pif","L1 English monolingual","p","i"
"372","399.76","2431.54","German","509344","fif","L1 English monolingual","f","i"
"373","769.95","1356.21","German","509344","faf","L1 English monolingual","f","schwa"
"374","490.49","1388.68","German","509344","fof","L1 English monolingual","f","o"
"375","788.74","1299.76","German","509344","faf","L1 English monolingual","f","schwa"
"376","450.15","1285.38","German","509344","fof","L1 English monolingual","f","o"
"377","325.57","2287.74","German","509344","fuf","L1 English monolingual","f","u"
"378","411.43","2243.44","German","509344","puf","L1 English monolingual","p","u"
"379","357.90","2478.03","German","509344","fif","L1 English monolingual","f","i"
"380","398.78","2437.34","German","509344","pif","L1 English monolingual","p","i"
"381","383.23","2387.08","German","509344","fif","L1 English monolingual","f","i"
"382","453.06","1194.64","German","509344","fof","L1 English monolingual","f","o"
"383","424.42","2136.21","German","509344","fuf","L1 English monolingual","f","u"
"384","470.65","2268.57","french","509344","pif","L1 English monolingual","p","i"
"385","491.47","2064.63","french","509344","fuf","L1 English monolingual","f","u"
"386","655.37","2104.18","french","509344","paf","L1 English monolingual","p","schwa"
"387","665.53","1855.85","french","509344","fof","L1 English monolingual","f","o"
"388","413.29","2299.54","french","509344","puf","L1 English monolingual","p","u"
"389","472.26","2240.97","french","509344","puf","L1 English monolingual","p","u"
"390","448.43","2528.10","french","509344","fif","L1 English monolingual","f","i"
"391","517.28","2354.19","french","509344","pif","L1 English monolingual","p","i"
"392","330.14","2406.32","french","509344","pif","L1 English monolingual","p","i"
"393","459.12","2248.85","french","509344","fuf","L1 English monolingual","f","u"
"394","723.18","1846.17","french","509344","paf","L1 English monolingual","p","schwa"
"395","649.25","1618.18","french","509344","fof","L1 English monolingual","f","o"
"396","671.79","1854.81","french","509344","paf","L1 English monolingual","p","schwa"
"397","648.04","1718.98","french","509344","pof","L1 English monolingual","p","o"
"398","459.60","2201.93","french","509344","puf","L1 English monolingual","p","u"
"399","645.70","1810.87","french","509344","faf","L1 English monolingual","f","schwa"
"400","386.75","2393.94","french","509344","fif","L1 English monolingual","f","i"
"401","730.72","1865.47","french","509344","faf","L1 English monolingual","f","schwa"
