"","file_name_append","text","language","word","file_copy"
"155","492817_blockNr_1_taskNr_3_trialNr_20_German_recording","puf","German","p_u","492817"
"156","492817_blockNr_1_taskNr_3_trialNr_21_German_recording","puf","German","p_u","492817"
"157","492817_blockNr_1_taskNr_4_trialNr_1_french_recording","pif","french","p_i","492817"
"158","492817_blockNr_1_taskNr_4_trialNr_5_french_recording","pof","french","p_o","492817"
"159","492817_blockNr_1_taskNr_4_trialNr_6_french_recording","paf","french","p_schwa","492817"
"160","492817_blockNr_1_taskNr_4_trialNr_7_french_recording","paf","french","p_schwa","492817"
"161","492817_blockNr_1_taskNr_4_trialNr_9_french_recording","pif","french","p_i","492817"
"162","492817_blockNr_1_taskNr_4_trialNr_13_french_recording","paf","french","p_schwa","492817"
"163","492817_blockNr_1_taskNr_4_trialNr_15_french_recording","puf","french","p_u","492817"
"164","492817_blockNr_1_taskNr_4_trialNr_18_french_recording","pif","french","p_i","492817"
"165","492817_blockNr_1_taskNr_4_trialNr_20_french_recording","puf","french","p_u","492817"
"166","492817_blockNr_1_taskNr_4_trialNr_22_french_recording","pof","french","p_o","492817"
"167","492817_blockNr_1_taskNr_4_trialNr_23_french_recording","pof","french","p_o","492817"
"168","492817_blockNr_1_taskNr_4_trialNr_24_french_recording","puf","french","p_u","492817"
"169","492817_blockNr_1_taskNr_6_trialNr_1_spanish_recording","pof","spanish","p_o","492817"
"170","492817_blockNr_1_taskNr_6_trialNr_3_spanish_recording","paf","spanish","p_a","492817"
"171","492817_blockNr_1_taskNr_6_trialNr_4_spanish_recording","pif","spanish","p_i","492817"
"172","492817_blockNr_1_taskNr_6_trialNr_6_spanish_recording","puf","spanish","p_u","492817"
"173","492817_blockNr_1_taskNr_6_trialNr_9_spanish_recording","puf","spanish","p_u","492817"
"174","492817_blockNr_1_taskNr_6_trialNr_14_spanish_recording","puf","spanish","p_u","492817"
"175","492817_blockNr_1_taskNr_6_trialNr_16_spanish_recording","pof","spanish","p_o","492817"
"176","492817_blockNr_1_taskNr_6_trialNr_17_spanish_recording","paf","spanish","p_a","492817"
"177","492817_blockNr_1_taskNr_6_trialNr_18_spanish_recording","pif","spanish","p_i","492817"
"178","492817_blockNr_1_taskNr_6_trialNr_19_spanish_recording","pof","spanish","p_o","492817"
"179","492817_blockNr_1_taskNr_6_trialNr_20_spanish_recording","pif","spanish","p_i","492817"
"180","492817_blockNr_1_taskNr_6_trialNr_22_spanish_recording","paf","spanish","p_a","492817"
"181","492817_blockNr_1_taskNr_7_trialNr_2_english_recording","poff","english","p_o","492817"
"182","492817_blockNr_1_taskNr_7_trialNr_4_english_recording","peef","english","p_i","492817"
"183","492817_blockNr_1_taskNr_7_trialNr_6_english_recording","puff","english","p_schwa","492817"
"184","492817_blockNr_1_taskNr_7_trialNr_7_english_recording","poff","english","p_o","492817"
"185","492817_blockNr_1_taskNr_7_trialNr_11_english_recording","poff","english","p_o","492817"
"186","492817_blockNr_1_taskNr_7_trialNr_13_english_recording","poof","english","p_u","492817"
"187","492817_blockNr_1_taskNr_7_trialNr_15_english_recording","poof","english","p_u","492817"
"188","492817_blockNr_1_taskNr_7_trialNr_16_english_recording","peef","english","p_i","492817"
