"","f1e","f2e","language","text","file_name_append","consonant","phoneme"
"806",653.91,1399.15,"German","faf","509367_blockNr_1_taskNr_3_trialNr_23_German_recording","f","schwa"
"807",754.42,1550.87,"German","faf","509367_blockNr_1_taskNr_3_trialNr_24_German_recording","f","schwa"
"808",406.78,944.38,"German","fof","509367_blockNr_1_taskNr_3_trialNr_2_German_recording","f","o"
"809",680.77,1606.68,"German","paf","509367_blockNr_1_taskNr_3_trialNr_3_German_recording","p","schwa"
"810",485.54,1060.22,"German","pof","509367_blockNr_1_taskNr_3_trialNr_4_German_recording","p","o"
"811",709.71,2540.05,"German","fif","509367_blockNr_1_taskNr_3_trialNr_5_German_recording","f","i"
"812",786.67,1622.63,"German","paf","509367_blockNr_1_taskNr_3_trialNr_6_German_recording","p","schwa"
"813",429.55,994.86,"German","fof","509367_blockNr_1_taskNr_3_trialNr_7_German_recording","f","o"
"814",373.36,2570.81,"German","pif","509367_blockNr_1_taskNr_3_trialNr_8_German_recording","p","i"
"815",410.51,931.33,"German","pof","509367_blockNr_1_taskNr_3_trialNr_9_German_recording","p","o"
"816",381.82,2501.54,"french","pif","509367_blockNr_1_taskNr_4_trialNr_10_french_recording","p","i"
"817",385.1,2056.47,"french","fuf","509367_blockNr_1_taskNr_4_trialNr_11_french_recording","f","u"
"818",657.34,1786.68,"french","paf","509367_blockNr_1_taskNr_4_trialNr_12_french_recording","p","schwa"
"819",607.48,1763.69,"french","faf","509367_blockNr_1_taskNr_4_trialNr_13_french_recording","f","schwa"
"820",612.07,1829.81,"french","faf","509367_blockNr_1_taskNr_4_trialNr_14_french_recording","f","schwa"
"821",645.86,1803.59,"french","paf","509367_blockNr_1_taskNr_4_trialNr_15_french_recording","p","schwa"
"822",551.49,1304.76,"french","fof","509367_blockNr_1_taskNr_4_trialNr_16_french_recording","f","o"
"823",596.49,1423.88,"french","pof","509367_blockNr_1_taskNr_4_trialNr_17_french_recording","p","o"
"824",392.5,1992.98,"french","fuf","509367_blockNr_1_taskNr_4_trialNr_18_french_recording","f","u"
"825",572.28,1819.32,"french","paf","509367_blockNr_1_taskNr_4_trialNr_19_french_recording","p","schwa"
"826",625.53,1435.68,"french","pof","509367_blockNr_1_taskNr_4_trialNr_1_french_recording","p","o"
"827",576.67,1412.09,"french","fof","509367_blockNr_1_taskNr_4_trialNr_20_french_recording","f","o"
"828",555.48,2445.02,"french","pif","509367_blockNr_1_taskNr_4_trialNr_21_french_recording","p","i"
"829",403.18,2684.71,"french","fif","509367_blockNr_1_taskNr_4_trialNr_22_french_recording","f","i"
"830",617.72,1713.96,"french","faf","509367_blockNr_1_taskNr_4_trialNr_23_french_recording","f","schwa"
"831",1249.23,2291.5,"french","fif","509367_blockNr_1_taskNr_4_trialNr_24_french_recording","f","i"
"832",702.25,2636.04,"french","fif","509367_blockNr_1_taskNr_4_trialNr_2_french_recording","f","i"
"833",571.69,1389.84,"french","fof","509367_blockNr_1_taskNr_4_trialNr_3_french_recording","f","o"
"834",677.32,1504.97,"french","pof","509367_blockNr_1_taskNr_4_trialNr_4_french_recording","p","o"
"835",415.88,2106.47,"french","puf","509367_blockNr_1_taskNr_4_trialNr_5_french_recording","p","u"
"836",379.44,2120.99,"french","fuf","509367_blockNr_1_taskNr_4_trialNr_6_french_recording","f","u"
"837",446.87,2039.38,"french","puf","509367_blockNr_1_taskNr_4_trialNr_7_french_recording","p","u"
"838",411.06,2225.92,"french","pif","509367_blockNr_1_taskNr_4_trialNr_8_french_recording","p","i"
"839",420.67,2098.67,"french","puf","509367_blockNr_1_taskNr_4_trialNr_9_french_recording","p","u"
"840",346.12,2624.1,"english","peef","509367_blockNr_1_taskNr_6_trialNr_10_english_recording","p","i"
"841",336.98,2559.37,"english","feef","509367_blockNr_1_taskNr_6_trialNr_11_english_recording","f","i"
"842",727.91,1399.28,"english","poff","509367_blockNr_1_taskNr_6_trialNr_12_english_recording","p","o"
"843",726.84,2653.75,"english","feef","509367_blockNr_1_taskNr_6_trialNr_13_english_recording","f","i"
"844",676.45,1309.45,"english","poff","509367_blockNr_1_taskNr_6_trialNr_14_english_recording","p","o"
"845",380.73,1902.06,"english","foof","509367_blockNr_1_taskNr_6_trialNr_15_english_recording","f","u"
"846",669.73,2627.08,"english","feef","509367_blockNr_1_taskNr_6_trialNr_16_english_recording","f","i"
"847",390.86,1588.03,"english","poof","509367_blockNr_1_taskNr_6_trialNr_17_english_recording","p","u"
"848",661.17,1490.94,"english","fuff","509367_blockNr_1_taskNr_6_trialNr_18_english_recording","f","schwa"
"849",364.96,1528.12,"english","poof","509367_blockNr_1_taskNr_6_trialNr_19_english_recording","p","u"
"850",388.29,1558.16,"english","poof","509367_blockNr_1_taskNr_6_trialNr_1_english_recording","p","u"
"851",718.02,2563.46,"english","peef","509367_blockNr_1_taskNr_6_trialNr_20_english_recording","p","i"
"852",726.23,1595.17,"english","puff","509367_blockNr_1_taskNr_6_trialNr_21_english_recording","p","schwa"
"853",391.37,1598.8,"english","foof","509367_blockNr_1_taskNr_6_trialNr_22_english_recording","f","u"
"854",756.95,1379.84,"english","foff","509367_blockNr_1_taskNr_6_trialNr_23_english_recording","f","o"
"855",677.85,1516.03,"english","puff","509367_blockNr_1_taskNr_6_trialNr_24_english_recording","p","schwa"
"856",668.38,1546.18,"english","fuff","509367_blockNr_1_taskNr_6_trialNr_2_english_recording","f","schwa"
"857",691.11,1307.18,"english","foff","509367_blockNr_1_taskNr_6_trialNr_3_english_recording","f","o"
"858",645.98,1506.24,"english","fuff","509367_blockNr_1_taskNr_6_trialNr_4_english_recording","f","schwa"
"859",678.06,1293.24,"english","foff","509367_blockNr_1_taskNr_6_trialNr_5_english_recording","f","o"
"860",666.77,1560.11,"english","puff","509367_blockNr_1_taskNr_6_trialNr_6_english_recording","p","schwa"
"861",690.41,1390.51,"english","poff","509367_blockNr_1_taskNr_6_trialNr_7_english_recording","p","o"
"862",350.26,2698.3,"english","peef","509367_blockNr_1_taskNr_6_trialNr_8_english_recording","p","i"
