"","X","f1e","f2e","language","participant","text","group","consonant","phoneme","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"170",170,736.62,1283.61,"German",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"171",171,385.71,1816.45,"German",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"172",172,761.31,1287.96,"German",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"173",173,386.61,1802.24,"German",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"174",174,758.31,1455.23,"German",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"175",175,316.36,2627.47,"German",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"176",176,575.18,989.94,"German",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"177",177,754.35,1463.55,"German",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"178",178,306.23,2607.48,"German",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"179",179,323.2,2609.48,"German",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"180",180,446.27,854.16,"German",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"181",181,436.02,885.14,"German",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"182",182,443.82,812.87,"German",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"183",183,330.02,1783.43,"German",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"184",184,366.3,1875.83,"German",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"185",185,446.2,869.4,"German",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"186",186,700.89,1191.33,"German",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"187",187,533.94,828.08,"German",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"188",188,352.01,1966.33,"German",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"189",189,332.13,1793.31,"German",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"190",190,321.15,2678.09,"German",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"191",191,730.03,1317.7,"German",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"192",192,396.1,1355.19,"english",509322,"poof","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"193",193,713.72,1085.82,"english",509322,"poff","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"194",194,451.41,2337.52,"english",509322,"peef","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"195",195,691.96,1294.97,"english",509322,"puff","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"196",196,401,1297.9,"english",509322,"poof","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"197",197,386.51,2700.77,"english",509322,"peef","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"198",198,357.37,2771.86,"english",509322,"feef","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"199",199,393.06,1370.4,"english",509322,"foof","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"200",200,733.17,1149.82,"english",509322,"poff","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"201",201,678.26,1074.24,"english",509322,"foff","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"202",202,597.78,1152.27,"english",509322,"fuff","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"203",203,342.68,2811.64,"english",509322,"peef","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"204",204,705.84,1222.99,"english",509322,"fuff","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"205",205,705.01,1252.73,"english",509322,"puff","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"206",206,350.59,2813.88,"english",509322,"feef","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"207",207,349.29,2734.55,"english",509322,"feef","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"208",208,702.34,1108.64,"english",509322,"poff","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"209",209,713.5,1280.36,"english",509322,"puff","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"210",210,710.99,1086.61,"english",509322,"foff","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"211",211,400.09,1391.46,"english",509322,"foof","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"212",212,411.11,1453.55,"english",509322,"poof","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
