"","X","participant","stim","word","language","stim_language","rating","phoneme","frame","language_num"
"156",156,"5bcc60b95c2b810001dc68e2","stim/pof_f.wav","fun","eng","french",3,"o","bilabial",1
"157",157,"5bcc60b95c2b810001dc68e2","stim/f_schwa_f.wav","son","span","french",3,"schwa","fricative",0
"158",158,"5bcc60b95c2b810001dc68e2","stim/fof_f.wav","fought","eng","french",3,"o","fricative",1
"159",159,"5bcc60b95c2b810001dc68e2","stim/pif_f.wav","feel","eng","french",3,"i","bilabial",1
"160",160,"5bcc60b95c2b810001dc68e2","stim/p_schwa_f.wav","fought","eng","french",3,"schwa","bilabial",1
"161",161,"5bebd4111296920001d55c5a","stim/fof_f.wav","fun","eng","french",3.98,"o","fricative",1
"162",162,"5bebd4111296920001d55c5a","stim/pof_f.wav","su","span","french",2.995,"o","bilabial",0
"163",163,"5bebd4111296920001d55c5a","stim/fif_f.wav","fin","span","french",4.005,"i","fricative",0
"164",164,"5bebd4111296920001d55c5a","stim/pif_f.wav","fin","span","french",3.99,"i","bilabial",0
"165",165,"5bebd4111296920001d55c5a","stim/feuf_f.wav","su","span","french",4.075,"y","fricative",0
"166",166,"5bebd4111296920001d55c5a","stim/p_schwa_f.wav","fought","eng","french",2.025,"schwa","bilabial",1
"167",167,"5bebd4111296920001d55c5a","stim/peuf_f.wav","su","span","french",3.985,"y","bilabial",0
"168",168,"5bebd4111296920001d55c5a","stim/f_schwa_f.wav","fun","eng","french",3.985,"schwa","fricative",1
"169",169,"5bebd4111296920001d55c5a","stim/pif_f.wav","fin","span","french",3.985,"i","bilabial",0
"170",170,"5bebd4111296920001d55c5a","stim/feuf_f.wav","fool","eng","french",3.985,"y","fricative",1
"171",171,"5bebd4111296920001d55c5a","stim/p_schwa_f.wav","fought","eng","french",3.02,"schwa","bilabial",1
"172",172,"5bebd4111296920001d55c5a","stim/fif_f.wav","fin","span","french",3.97,"i","fricative",0
"173",173,"5bebd4111296920001d55c5a","stim/pof_f.wav","fought","eng","french",3.97,"o","bilabial",1
"174",174,"5bebd4111296920001d55c5a","stim/f_schwa_f.wav","fought","eng","french",3.97,"schwa","fricative",1
"175",175,"5bebd4111296920001d55c5a","stim/fof_f.wav","fool","eng","french",3.08,"o","fricative",1
"176",176,"5bebd4111296920001d55c5a","stim/peuf_f.wav","fool","eng","french",2.96,"y","bilabial",1
"177",177,"5bebd4111296920001d55c5a","stim/fof_f.wav","fun","eng","french",2.99,"o","fricative",1
"178",178,"5bebd4111296920001d55c5a","stim/feuf_f.wav","su","span","french",4.015,"y","fricative",0
"179",179,"5bebd4111296920001d55c5a","stim/peuf_f.wav","su","span","french",3.09,"y","bilabial",0
"180",180,"5bebd4111296920001d55c5a","stim/p_schwa_f.wav","fun","eng","french",3.995,"schwa","bilabial",1
"181",181,"5bebd4111296920001d55c5a","stim/pif_f.wav","fin","span","french",3.975,"i","bilabial",0
"182",182,"5bebd4111296920001d55c5a","stim/f_schwa_f.wav","fool","eng","french",3.975,"schwa","fricative",1
"183",183,"5bebd4111296920001d55c5a","stim/fif_f.wav","fin","span","french",3.975,"i","fricative",0
"184",184,"5bebd4111296920001d55c5a","stim/pof_f.wav","fun","eng","french",3.975,"o","bilabial",1
"185",185,"5bebd4111296920001d55c5a","stim/f_schwa_f.wav","fin","span","french",2.985,"schwa","fricative",0
"186",186,"5bebd4111296920001d55c5a","stim/pof_f.wav","fought","eng","french",1.965,"o","bilabial",1
"187",187,"5bebd4111296920001d55c5a","stim/peuf_f.wav","su","span","french",3.95,"y","bilabial",0
"188",188,"5bebd4111296920001d55c5a","stim/feuf_f.wav","fool","eng","french",3.95,"y","fricative",1
"189",189,"5bebd4111296920001d55c5a","stim/fif_f.wav","fin","span","french",4.02,"i","fricative",0
"190",190,"5bebd4111296920001d55c5a","stim/p_schwa_f.wav","fun","eng","french",4.02,"schwa","bilabial",1
"191",191,"5bebd4111296920001d55c5a","stim/pif_f.wav","fin","span","french",4.02,"i","bilabial",0
"192",192,"5bebd4111296920001d55c5a","stim/fof_f.wav","fun","eng","french",4.02,"o","fricative",1
"193",193,"5bebd4111296920001d55c5a","stim/feuf_f.wav","su","span","french",4.02,"y","fricative",0
"194",194,"5bebd4111296920001d55c5a","stim/pof_f.wav","fought","eng","french",4.02,"o","bilabial",1
"195",195,"5bebd4111296920001d55c5a","stim/fif_f.wav","fin","span","french",4.02,"i","fricative",0
"196",196,"5bebd4111296920001d55c5a","stim/fof_f.wav","fought","eng","french",4.02,"o","fricative",1
"197",197,"5bebd4111296920001d55c5a","stim/p_schwa_f.wav","fun","eng","french",3.025,"schwa","bilabial",1
"198",198,"5bebd4111296920001d55c5a","stim/pif_f.wav","fin","span","french",3.935,"i","bilabial",0
