key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect,key_resp_trial.rt
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,46,46,34,1,stim/Step_5.wav,stim/Step_7.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,47,47,26,1,stim/Step_4.wav,stim/Step_6.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,48,48,10,1,stim/Step_2.wav,stim/Step_4.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,0,49,11,1,stim/Step_2.wav,stim/Step_5.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,1,50,26,1,stim/Step_4.wav,stim/Step_6.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,2,51,13,1,stim/Step_2.wav,stim/Step_7.wav,-5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,3,52,47,1,stim/Step_7.wav,stim/Step_6.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,4,53,31,1,stim/Step_5.wav,stim/Step_4.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,5,54,2,1,stim/Step_1.wav,stim/Step_3.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,6,55,32,1,stim/Step_5.wav,stim/Step_5.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,7,56,40,1,stim/Step_6.wav,stim/Step_6.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,8,57,29,1,stim/Step_5.wav,stim/Step_2.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,9,58,21,1,stim/Step_4.wav,stim/Step_1.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,10,59,42,1,stim/Step_7.wav,stim/Step_1.wav,6,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,11,60,9,1,stim/Step_2.wav,stim/Step_3.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,12,61,22,1,stim/Step_4.wav,stim/Step_2.wav,2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,13,62,45,1,stim/Step_7.wav,stim/Step_4.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,14,63,6,1,stim/Step_1.wav,stim/Step_7.wav,-6,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,15,64,25,1,stim/Step_4.wav,stim/Step_5.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,16,65,5,1,stim/Step_1.wav,stim/Step_6.wav,-5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,17,66,35,1,stim/Step_6.wav,stim/Step_1.wav,5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,18,67,15,1,stim/Step_3.wav,stim/Step_2.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,19,68,1,1,stim/Step_1.wav,stim/Step_2.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,20,69,14,1,stim/Step_3.wav,stim/Step_1.wav,2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,21,70,3,1,stim/Step_1.wav,stim/Step_4.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,22,71,24,1,stim/Step_4.wav,stim/Step_4.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,23,72,10,1,stim/Step_2.wav,stim/Step_4.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,24,73,48,1,stim/Step_7.wav,stim/Step_7.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,25,74,4,1,stim/Step_1.wav,stim/Step_5.wav,-4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,26,75,27,1,stim/Step_4.wav,stim/Step_7.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,27,76,17,1,stim/Step_3.wav,stim/Step_4.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,28,77,0,1,stim/Step_1.wav,stim/Step_1.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,29,78,34,1,stim/Step_5.wav,stim/Step_7.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,30,79,44,1,stim/Step_7.wav,stim/Step_3.wav,4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,31,80,19,1,stim/Step_3.wav,stim/Step_6.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,32,81,37,1,stim/Step_6.wav,stim/Step_3.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,33,82,12,1,stim/Step_2.wav,stim/Step_6.wav,-4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,34,83,16,1,stim/Step_3.wav,stim/Step_3.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,35,84,33,1,stim/Step_5.wav,stim/Step_6.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,36,85,46,1,stim/Step_7.wav,stim/Step_5.wav,2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,37,86,18,1,stim/Step_3.wav,stim/Step_5.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,38,87,8,1,stim/Step_2.wav,stim/Step_2.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,39,88,39,1,stim/Step_6.wav,stim/Step_5.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,1,1,1,40,89,23,1,stim/Step_4.wav,stim/Step_3.wav,1,1,0.735
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,1,1,1,41,90,28,1,stim/Step_5.wav,stim/Step_1.wav,4,1,0.6516
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,1,1,1,42,91,36,1,stim/Step_6.wav,stim/Step_2.wav,4,1,0.7018
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,1,43,92,30,1,stim/Step_5.wav,stim/Step_3.wav,2,1,
